season,playoff,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,game_date,quarter_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,time,yrdln,ydstogo,desc,play_type,field_goal_result,kick_distance,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,opp_fg_prob,field_goal_attempt,kicker_player_name,kicker_player_id,type,iced,overtime
2009,reg,4250,2009091000,PIT,TEN,PIT,home,TEN,TEN,2009-09-10,634.0,634.0,Overtime,1,5,1.0,10:34,TEN 15,10,"(10:34) (Field Goal formation) J.Reed 33 yard field goal is GOOD, Center-G.Warren, Holder-D.Sepulveda.",field_goal,made,33.0,1,2,0.0,,1.0,2.0,10.0,10.0,0.0,0.013848957882927549,1.0,J.Reed,00-0020737,off_timeout,non_iced,1
2009,reg,3970,2009092011,CHI,PIT,CHI,home,PIT,PIT,2009-09-20,20.0,20.0,Half2,1,4,4.0,00:20,PIT 26,2,"(:20) R.Gould 44 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Maynard.",field_goal,made,44.0,1,0,0.0,,1.0,0.0,14.0,14.0,0.0,0.03102298681108365,1.0,R.Gould,00-0023252,off_timeout,non_iced,0
2009,reg,4239,2009092014,DAL,NYG,NYG,away,DAL,DAL,2009-09-20,4.0,4.0,Half2,1,4,2.0,00:04,DAL 19,8,"(:04) (Field Goal formation) L.Tynes 37 yard field goal is GOOD, Center-Z.DeOssie, Holder-J.Feagles.",field_goal,made,37.0,1,0,0.0,,0.0,1.0,29.0,31.0,-2.0,0.0,1.0,L.Tynes,00-0019778,iced,iced,0
2009,reg,5152,2009100401,CLE,CIN,CIN,away,CLE,CLE,2009-10-04,7.0,7.0,Overtime,1,5,1.0,00:07,CLE 13,10,"(:07) S.Graham 31 yard field goal is GOOD, Center-B.St. Louis, Holder-K.Huber.",field_goal,made,31.0,0,0,0.0,,0.0,0.0,19.0,20.0,-1.0,0.0050336024784853,1.0,S.Graham,00-0019536,off_timeout,non_iced,1
2009,reg,4198,2009101101,BUF,CLE,CLE,away,BUF,BUF,2009-10-11,26.0,26.0,Half2,1,4,4.0,00:26,BUF 1,1,"(:26) B.Cundiff 18 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",field_goal,made,18.0,0,2,0.0,,2.0,0.0,3.0,3.0,0.0,0.00047424609427314647,1.0,B.Cundiff,00-0020972,off_timeout,non_iced,0
2009,reg,4460,2009101110,DEN,NE,DEN,home,NE,NE,2009-10-11,615.0,615.0,Overtime,1,5,4.0,10:15,NE 22,3,"(10:15) M.Prater 41 yard field goal is GOOD, Center-L.Paxton, Holder-B.Kern.",field_goal,made,41.0,1,0,0.0,,1.0,0.0,17.0,17.0,0.0,0.03845969510678605,1.0,M.Prater,00-0023853,iced,iced,1
2009,reg,4460,2009101803,MIN,BAL,BAL,away,MIN,MIN,2009-10-18,2.0,2.0,Half2,0,4,4.0,00:02,MIN 26,7,"(:02) S.Hauschka 44 yard field goal is No Good, Wide Left, Center-M.Katula, Holder-S.Koch.",field_goal,missed,44.0,1,0,0.0,,0.0,1.0,31.0,33.0,-2.0,0.0,1.0,S.Hauschka,00-0025944,iced,iced,0
2009,reg,4248,2009101811,NYJ,BUF,BUF,away,NYJ,NYJ,2009-10-18,4.0,4.0,Half2,0,4,2.0,00:04,NYJ 28,12,"(:04) R.Lindell 46 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Moorman.",field_goal,missed,46.0,1,0,0.0,,0.0,1.0,13.0,13.0,0.0,0.0,1.0,R.Lindell,00-0019310,off_timeout,non_iced,0
2009,reg,5148,2009101811,NYJ,BUF,BUF,away,NYJ,NYJ,2009-10-18,169.0,169.0,Overtime,1,5,4.0,02:49,NYJ 29,6,"(2:49) R.Lindell 47 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Moorman.",field_goal,made,47.0,1,1,0.0,,1.0,1.0,13.0,13.0,0.0,0.04228112571228427,1.0,R.Lindell,00-0019310,iced,iced,1
2009,reg,4596,2009110803,IND,HOU,HOU,away,IND,IND,2009-11-08,1.0,1.0,Half2,0,4,3.0,00:01,IND 24,2,"(:01) K.Brown 42 yard field goal is No Good, Wide Left, Center-J.Dreessen, Holder-M.Turk.",field_goal,missed,42.0,2,0,0.0,,0.0,2.0,17.0,20.0,-3.0,0.0,1.0,K.Brown,00-0001980,no_timeout,non_iced,0
